Kod;Nazwa;Sekcje wg PKD 2007;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;Sekcja H;2011;589320;etat; 
0000000;POLSKA;Sekcja F;2014;590006;etat; 
0000000;POLSKA;Sekcja H;2012;591060;etat; 
0000000;POLSKA;Sekcja F;2015;592752;etat; 
0000000;POLSKA;Sekcja H;2014;593948;etat; 
0000000;POLSKA;Sekcja H;2008;602380;etat; 
0000000;POLSKA;Sekcja F;2013;604352;etat; 
0000000;POLSKA;Sekcja H;2015;609577;etat; 
0000000;POLSKA;Sekcja F;2016;612422;etat; 
0000000;POLSKA;Sekcja F;2017;614115;etat; 
0000000;POLSKA;Sekcja F;2007;615064;etat; 
0000000;POLSKA;Sekcja O;2015;619380;etat; 
0000000;POLSKA;Sekcja O;2016;620632;etat; 
0000000;POLSKA;Sekcja O;2017;621156;etat; 
0000000;POLSKA;Sekcja O;2014;621560;etat; 
0000000;POLSKA;Sekcja Q;2005;621729;etat; 
0000000;POLSKA;Sekcja O;2018;621858;etat; 
0000000;POLSKA;Sekcja O;2020;623016;etat; 
0000000;POLSKA;Sekcja Q;2006;623793;etat; 
0000000;POLSKA;Sekcja O;2013;623872;etat; 
0000000;POLSKA;Sekcja O;2021;626304;etat; 
0000000;POLSKA;Sekcja O;2019;626655;etat; 
0000000;POLSKA;Sekcja O;2012;629434;etat; 
0000000;POLSKA;Sekcja O;2009;629585;etat; 
0000000;POLSKA;Sekcja O;2011;630290;etat; 
0000000;POLSKA;Sekcja Q;2007;632190;etat; 
0000000;POLSKA;Sekcja O;2022;632253;etat; 
0000000;POLSKA;Sekcja F;2018;640508;etat; 
0000000;POLSKA;Sekcja Q;2008;641434;etat; 
0000000;POLSKA;Sekcja H;2016;642239;etat; 
0000000;POLSKA;Sekcja O;2010;642800;etat; 
0000000;POLSKA;Sekcja Q;2009;656525;etat; 
0000000;POLSKA;Sekcja F;2019;661806;etat; 
0000000;POLSKA;Sekcja F;2020;664569;etat; 
0000000;POLSKA;Sekcja Q;2013;664599;etat; 
0000000;POLSKA;Sekcja Q;2012;666555;etat; 
0000000;POLSKA;Sekcja Q;2014;667547;etat; 
0000000;POLSKA;Sekcja Q;2010;667841;etat; 
0000000;POLSKA;Sekcja Q;2011;667957;etat; 
0000000;POLSKA;Sekcja Q;2015;669489;etat; 
0000000;POLSKA;Sekcja F;2021;670028;etat; 
0000000;POLSKA;Sekcja F;2012;670869;etat; 
0000000;POLSKA;Sekcja F;2008;671164;etat; 
0000000;POLSKA;Sekcja F;2010;674414;etat; 
0000000;POLSKA;Sekcja F;2022;677488;etat; 
0000000;POLSKA;Sekcja H;2017;680579;etat; 
0000000;POLSKA;Sekcja Q;2016;682173;etat; 
0000000;POLSKA;Sekcja Q;2017;689859;etat; 
0000000;POLSKA;Sekcja Q;2020;698480;etat; 
0000000;POLSKA;Sekcja Q;2018;700594;etat; 
0000000;POLSKA;Sekcja Q;2019;704426;etat; 
0000000;POLSKA;Sekcja F;2011;705235;etat; 
0000000;POLSKA;Sekcja F;2009;706606;etat; 
0000000;POLSKA;Sekcja H;2018;709084;etat; 
0000000;POLSKA;Sekcja Q;2021;712480;etat; 
0000000;POLSKA;Sekcja Q;2022;724514;etat; 
0000000;POLSKA;Sekcja H;2019;745415;etat; 
0000000;POLSKA;Sekcja H;2020;748850;etat; 
0000000;POLSKA;Sekcja H;2021;772826;etat; 
0000000;POLSKA;Sekcja H;2022;788175;etat; 
0000000;POLSKA;Sekcja P;2006;1017867;etat; 
0000000;POLSKA;Sekcja P;2005;1018270;etat; 
0000000;POLSKA;Sekcja P;2007;1020904;etat; 
0000000;POLSKA;Sekcja P;2008;1022204;etat; 
0000000;POLSKA;Sekcja P;2013;1027494;etat; 
0000000;POLSKA;Sekcja P;2010;1035861;etat; 
0000000;POLSKA;Sekcja P;2014;1036291;etat; 
0000000;POLSKA;Sekcja P;2009;1038946;etat; 
0000000;POLSKA;Sekcja P;2011;1039751;etat; 
